Product_ID,ProductName,Category_ID,Brand_ID,Price,Inventory
1,Wireless Earbuds,1,1,75,117
2,5000 Lumens LED Flashlight,2,2,41,669
3,Gaming Mouse,1,3,47,494
4,Memory Foam Pillow,3,4,69,263
5,"10,000mAh Power Bank",1,5,39,135
6,Waterproof Hiking Boots,4,6,83,781
7,Fitness Tracker,1,7,76,273
8,4K Action Camera,1,8,54,189
9,55-Inch 4K Ultra HD Smart TV,1,9,55,304
10,Smart Home Speaker,1,10,98,890
11,2TB Portable SSD,1,1,25,107
12,Hair Dryer,5,2,96,477
13,Solar-Powered Garden Lights,2,3,100,409
14,Wireless Bluetooth Headphones,1,4,95,757
15,Gaming Keyboard and Mouse Combo,1,5,56,562
16,Quartz Crystal Necklace,4,6,49,704
17,27-Inch Curved Monitor,1,7,92,263
18,Universal Remote Control,1,8,85,955
19,Telescope with Tripod,1,9,25,774
20,8-Piece Non-Stick Cookware Set,3,10,20,971
21,Performance Running Shoes,4,1,67,508
22,Air Purifier with HEPA Filter,3,2,27,281
23,Smart Water Bottle,1,3,33,121
24,Camping Tent,2,4,20,240
25,Tarot Card Deck,6,5,10,746
,,,,,
,,,,,
