Interaction_ID,User_ID,Product_ID,Recommendation_Score
397691,26,16,
955271,31,7,
854728,26,16,
504773,17,12,
138386,29,23,
367890,47,1,
395802,13,22,
119800,34,10,
818032,7,2,
217493,39,8,
322759,38,3,
911504,4,17,
532603,50,17,
741895,11,21,
83635,44,5,
253086,23,16,
917548,41,20,
478693,5,16,
466729,6,24,
716522,6,13,
141248,13,17,
331,33,1,
927843,49,12,
539431,11,2,
201827,31,23,
100573,20,11,
227672,3,19,
203910,19,3,
867482,12,18,
239645,21,3,
214346,43,22,
968517,1,7,
548111,44,20,
445194,29,1,
976631,17,11,
400056,28,8,
725137,10,14,
783537,39,3,
874832,10,4,
626467,8,21,
481786,27,17,
600447,43,11,
208987,18,24,
981531,35,18,
983002,43,24,
70503,46,6,
152441,7,19,
143074,33,20,
107968,5,7,
773559,18,17,
911887,11,11,
920180,21,10,
693726,41,13,
187126,23,9,
13784,35,25,
435079,6,11,
993850,34,22,
308003,16,22,
738887,1,22,
717454,43,3,
151800,8,6,
120139,46,22,
276241,36,15,
673321,2,18,
966883,36,21,
9279,27,2,
87680,14,2,
503473,40,16,
783,12,7,
703236,20,11,
389400,44,2,
943918,40,5,
937137,32,4,
740950,10,16,
421057,33,7,
518234,35,23,
44511,2,3,
554301,12,13,
928654,29,11,
651020,22,8,
796520,35,14,
760920,11,12,
241163,43,14,
782966,13,23,
33760,11,14,
666138,28,7,
646931,9,9,
968571,28,15,
949577,38,10,
122798,38,21,
480343,5,5,
666029,39,18,
464590,47,15,
860554,33,14,
985348,5,19,
760028,5,7,
875749,22,17,
721770,2,13,
534956,40,15,
908530,49,3,
381639,23,22,
53103,49,1,
386345,12,18,
150685,2,10,
532803,47,3,
442158,5,7,
204275,5,24,
697220,50,11,
425657,39,23,
327535,1,7,
975694,4,3,
763965,10,4,
620444,15,10,
538087,33,21,
896867,24,5,
733203,30,12,
755583,46,16,
954749,26,18,
998793,37,14,
724346,27,14,
236236,41,18,
245912,41,5,
862307,22,16,
23162,5,25,
800584,28,2,
82669,20,6,
668528,11,11,
186836,18,17,
671436,42,11,
821483,43,2,
234224,12,14,
67273,20,19,
436200,23,1,
54070,12,14,
178363,28,25,
877990,21,14,
258392,30,6,
891264,26,4,
971286,10,15,
435430,16,10,
328796,41,12,
947923,34,25,
73930,49,16,
710552,9,21,
275270,19,12,
995703,5,23,
468021,18,23,
180965,1,5,
769385,43,25,
755328,10,8,
540363,19,16,
507979,37,22,
547643,29,6,
690870,7,13,
832272,2,8,
470676,14,24,
947398,12,1,
452595,45,19,
433819,39,6,
108697,21,5,
822455,31,25,
7793,35,17,
707671,2,25,
833552,1,20,
851383,41,24,
995326,29,15,
295973,33,19,
361487,5,11,
985035,28,8,
340541,19,7,
805447,27,11,
994253,34,1,
62315,13,16,
915144,1,22,
70676,38,10,
866354,16,22,
304338,49,8,
421006,22,17,
423957,38,17,
161923,11,4,
853128,30,25,
444008,30,6,
460060,22,13,
820723,43,12,
896645,5,25,
279997,39,16,
787414,47,11,
142779,43,16,
179250,11,1,
497914,8,11,
8602,25,15,
361908,6,19,
289708,40,10,
263738,3,21,
147533,3,7,
158098,25,23,
993528,38,18,
439569,23,8,
951450,22,23,
388517,5,16,
161665,50,11,
190458,32,25,
107043,43,12,
127797,45,8,
234489,17,19,
850631,17,16,
982586,14,9,
103026,23,6,
487728,22,14,
720402,15,14,
388991,25,18,
208353,15,7,
84607,19,18,
691420,14,2,
445232,1,6,
334829,35,2,
961291,47,14,
478090,48,6,
70575,34,3,
985535,17,22,
98850,21,9,
367627,40,17,
666540,25,8,
67571,43,13,
177547,31,4,
717848,25,23,
847660,11,13,
797543,13,15,
386615,38,4,
788402,16,5,
14270,4,6,
833065,37,20,
812054,44,19,
522985,16,17,
784425,42,2,
403164,45,22,
957858,41,7,
947334,21,1,
125261,9,6,
522150,35,17,
28918,46,6,
806502,6,20,
647869,3,9,
484538,16,15,
778464,21,13,
691710,14,21,
517465,38,16,
240628,22,9,
136097,15,25,
411069,38,19,
985227,18,17,
754173,17,16,
926627,12,7,
757116,8,17,
920633,19,12,
302677,34,5,
783069,5,1,
774433,37,21,
198497,49,19,
394893,20,2,
102600,35,23,
405331,17,23,
767115,34,10,
958694,35,19,
699057,6,21,
942079,27,6,
96295,4,11,
79326,50,25,
223365,17,17,
509816,20,4,
649169,29,15,
614692,35,5,
336729,34,7,
833951,20,17,
545662,30,13,
123314,12,5,
920134,41,23,
698304,13,25,
474361,31,22,
950636,34,2,
653574,16,25,
96483,13,14,
33037,47,7,
677445,3,15,
766309,37,2,
331314,35,19,
508812,13,10,
799017,3,13,
215441,37,9,
692381,24,10,
391273,2,18,
454345,47,2,
36019,30,24,
565193,20,14,
951281,49,20,
116503,27,13,
496813,28,5,
298842,8,12,
503650,37,21,
414598,19,4,
310737,21,1,
701621,46,14,
133418,5,25,
590862,10,14,
685884,45,23,
686093,11,2,
302393,23,15,
628613,32,10,
127511,28,13,
47691,49,13,
53650,20,12,
238405,5,9,
424944,5,23,
520632,1,4,
272343,22,6,
353171,35,4,
569776,42,12,
963486,1,24,
699263,45,18,
274968,41,11,
864443,9,2,
394377,32,23,
505149,18,15,
39543,25,24,
401310,37,9,
166607,32,8,
11122,1,5,
66862,47,12,
247516,26,9,
834101,30,11,
892125,30,16,
187699,24,16,
782259,3,25,
626209,21,1,
856123,36,12,
678983,34,16,
291903,14,7,
570049,37,18,
783268,3,2,
421666,39,18,
881714,47,11,
199163,11,8,
142789,43,8,
506059,7,9,
108960,33,7,
824545,2,19,
355242,27,24,
168855,32,14,
438486,14,5,
659046,39,14,
241903,4,15,
314850,25,4,
186173,23,4,
754409,48,21,
804012,6,16,
850091,8,19,
243010,19,9,
960218,12,20,
441163,4,12,
413650,37,2,
544791,24,9,
152894,40,14,
136699,49,3,
703184,5,1,
383308,15,19,
884497,35,12,
962502,16,14,
814287,12,14,
635697,44,1,
913323,8,17,
837475,31,12,
531819,36,14,
467947,35,25,
986859,3,8,
329861,1,4,
175176,36,21,
55563,24,2,
935017,44,8,
500093,32,15,
532277,21,3,
166433,39,14,
740328,12,4,
620686,40,15,
299225,41,23,
482527,14,16,
796349,24,15,
406049,49,1,
791494,48,17,
753523,36,4,
485634,20,20,
409978,30,11,
894162,28,24,
325638,43,25,
286947,25,22,
810528,13,25,
718261,15,10,
98622,13,23,
663241,19,23,
874437,22,20,
874248,7,24,
773425,9,25,
624161,13,15,
488027,18,9,
414398,38,14,
980674,50,20,
426327,18,5,
11549,9,1,
397571,3,15,
919736,39,4,
858159,20,14,
970746,10,12,
372479,45,9,
702105,47,12,
457586,17,25,
547252,37,19,
10217,33,17,
313075,32,1,
935870,48,4,
706964,12,5,
400681,16,17,
951923,35,1,
792346,26,21,
988940,34,3,
454843,22,18,
510865,41,13,
121590,1,8,
998901,1,3,
260886,20,17,
775292,39,7,
389131,23,1,
240875,48,14,
914346,45,12,
674536,40,24,
205139,30,20,
87565,31,22,
372038,23,23,
335237,7,10,
217398,22,6,
642816,34,8,
524095,12,21,
638087,40,25,
46235,17,22,
444063,32,6,
23114,11,24,
135803,11,1,
43735,14,6,
453807,42,25,
307809,37,13,
882096,4,8,
172170,15,22,
465975,20,14,
595192,9,4,
318816,41,13,
470453,40,4,
812922,14,3,
301374,25,13,
525565,10,2,
671748,20,24,
8948,7,19,
110917,33,16,
510133,37,16,
740815,27,11,
419325,32,25,
789710,16,1,
743519,36,13,
63504,1,9,
364696,33,19,
730411,2,20,
868571,27,17,
331529,43,9,
338796,29,10,
194574,24,15,
819377,5,7,
349957,49,19,
687006,12,1,
100056,15,6,
891973,41,16,
156050,11,17,
164576,25,25,
882968,32,21,
529762,26,22,
509107,26,4,
986230,43,2,
957321,8,4,
680864,41,9,
99343,30,8,
865386,32,16,
653007,46,21,
604789,44,7,
858716,31,16,
506264,48,22,
246876,12,10,
943108,5,19,
335743,48,3,
890413,46,24,
433505,34,17,
669455,42,25,
732555,33,7,
322371,2,23,
190669,3,7,
365812,5,15,
592015,17,4,
476319,43,25,
251668,24,18,
788344,4,19,
36925,17,18,
213300,13,8,
791927,9,9,
958808,48,23,
190153,41,11,
164961,27,24,
18117,24,11,
765318,2,15,
547700,4,11,
870597,35,16,
819727,21,19,
940769,14,2,
932975,27,15,
627779,43,21,
889321,3,2,
89559,47,2,
130530,10,22,
399280,12,24,
869208,11,23,
705609,46,25,
428173,3,17,
604518,24,3,
672838,21,19,
653016,37,1,
100640,23,19,
